,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,Nhà tù Shawshank,1994,142 min,9.3,80        ,"2,446,445",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
1,Bố Già,1972,175 min,9.2,100        ,"1,693,784",$134.97M,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.
2,Soorarai Pottru,2020,153 min,9.1,,"88,051",,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
3,Kỵ Sĩ Bóng Đêm,2008,152 min,9.0,84        ,"2,402,286",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,Bố Già Phần II,1974,202 min,9.0,90        ,"1,176,593",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
5,12 Angry Men,1957,96 min,9.0,96        ,"724,112",$4.36M,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,Dara iz Jasenovca,2020,130 min,8.9,,"78,804",,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.
7,Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,2003,201 min,8.9,94        ,"1,700,212",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Pulp Fiction,1994,154 min,8.9,94        ,"1,896,772",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,Bản Danh Sách Của Schindler,1993,195 min,8.9,94        ,"1,258,985",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
10,Kẻ Đánh Cắp Giấc Mơ,2010,148 min,8.8,74        ,"2,154,994",$292.58M,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
